Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
734905,6950000000000,CAHUB-E0G      ,BASEUS LITTLE BOX TYPE-C TO HDMI+TYPE-C PD MINI HD SMART HUB CONVERTER DARK GRAY                              ,BASEUS                        ,1,114.5,239,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734906,6950000000000,SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,BASEUS                        ,1,49.5,109,25.0,0.0,1.0,14.0,14.0,6.0,Min 3 months,11.33,Fast moving,549.505,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734907,6950000000000,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,2.0,0.0,0.0,0 month,0.67,Non moving,15.745000000000001,Less profitable,Non moving - Less profitable,-,-
734909,6950000000000,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,1,24.5,49,9.0,3.0,6.0,11.0,8.0,5.0,Min 3 months,8.0,Fast moving,188.0,Profitable,Fast moving - Profitable,-,-
734910,6950000000000,SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,1,24.5,49,3.0,2.0,1.0,1.0,0.0,0.0,Min 3 months,0.33,Non moving,7.755000000000001,Less profitable,Non moving - Less profitable,Buying Price,-
734911,6950000000000,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,1,24.5,49,14.0,4.0,5.0,9.0,10.0,4.0,Min 3 months,7.67,Slow moving,180.245,Profitable,Slow moving - Profitable,-,-
734912,6950000000000,SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,BASEUS                        ,1,24.5,49,2.0,1.0,2.0,0.0,0.0,2.0,Min 3 months,0.67,Non moving,15.745000000000001,Less profitable,Non moving - Less profitable,Buying Price,-
734913,6950000000000,SUER-A0V       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,1,19.5,39,5.0,3.0,0.0,6.0,1.0,0.0,Min 3 months,2.33,Slow moving,43.105000000000004,Less profitable,Slow moving - Less profitable,-,-
734914,6950000000000,SUCH-01        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER BLACK                                                               ,BASEUS                        ,1,19.5,39,1.0,1.0,0.0,2.0,0.0,1.0,Min 3 months,1.0,Slow moving,18.5,Less profitable,Slow moving - Less profitable,-,-
734915,6950000000000,SUCH-02        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER SILVER                                                              ,BASEUS                        ,1,24.5,49,0.0,1.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734916,6950000000000,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,1,24.5,49,0.0,5.0,1.0,4.0,1.0,0.0,0 month,1.67,Slow moving,39.245,Less profitable,Slow moving - Less profitable,-,-
734917,6950000000000,SUHS-DP0S      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT SILVER                                                            ,BASEUS                        ,1,24.5,49,0.0,3.0,2.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734918,6950000000000,SUJX-01        ,BASEUS GOLD AROMATIZING AIR VENT CAR MOUNT                                                                    ,BASEUS                        ,1,34.5,69,0.0,3.0,1.0,2.0,0.0,0.0,0 month,0.67,Non moving,22.445,Less profitable,Non moving - Less profitable,-,-
734920,6950000000000,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,1,34.5,69,8.0,11.0,11.0,19.0,26.0,28.0,Min 3 months,24.33,Fast moving,815.055,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734921,6950000000000,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,1,34.5,69,5.0,8.0,2.0,5.0,8.0,6.0,Min 3 months,6.33,Slow moving,212.055,Profitable,Slow moving - Profitable,-,-
734922,6950000000000,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,1,34.5,69,10.0,11.0,4.0,22.0,18.0,9.0,Min 3 months,16.33,Fast moving,547.055,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734923,6950000000000,SUGX-A01       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP BLACK                                               ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734924,6950000000000,SUGX-A0V       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP GOLD                                                ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734925,6950000000000,SUGX-A09       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP RED                                                 ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734926,6950000000000,SUGX-A0S       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP SILVER                                              ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734927,6950000000000,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,1,24.5,49,27.0,12.0,12.0,16.0,21.0,21.0,Min 3 months,19.33,Fast moving,454.25499999999994,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734928,6950000000000,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,1,24.0,49,23.0,1.0,2.0,10.0,5.0,6.0,Min 3 months,7.0,Slow moving,161.0,Profitable,Slow moving - Profitable,-,-
734929,6950000000000,SUER-B09       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE RED                                                          ,BASEUS                        ,1,24.5,49,0.0,4.0,2.0,7.0,2.0,0.0,0 month,3.0,Slow moving,70.5,Profitable,Slow moving - Profitable,-,-
734930,6950000000000,SUER-B0V       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,BASEUS                        ,1,24.5,49,8.0,5.0,5.0,0.0,9.0,4.0,Min 3 months,4.33,Slow moving,101.755,Profitable,Slow moving - Profitable,-,-
734931,6950000000000,WIAPIPH58-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XS                                                                 ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734933,6950000000000,WIAPIPH58-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XS                                                                  ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734934,6950000000000,WIAPIPH58-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XS                                                                 ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734935,6950000000000,CALLG-01       ,BASEUS GLOWING DATA CABLE USB FOR LIGHTNING BLACK                                                             ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734936,6950000000000,CALLG-09       ,BASEUS GLOWING DATA CABLE USB FOR LIGHTNING RED                                                               ,BASEUS                        ,1,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734937,6950000000000,SUGENT-ZN03    ,BASEUS SMART CAR MOUNT PHONE HOLDER BLUE                                                                      ,BASEUS                        ,1,69.5,149,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734938,6950000000000,SUGENT-ZN0S    ,BASEUS SMART CAR MOUNT PHONE HOLDER SILVER                                                                    ,BASEUS                        ,1,69.5,149,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734939,6950000000000,CCALL-XK01     ,BASEUS DESKTOP WIRELESS/WIRED CHARGER BLACK                                                                   ,BASEUS                        ,1,109.5,229,0.0,1.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734940,6950000000000,WXXP-02        ,BASEUS WIRELESS CHARGER SUCTION CUP WHITE                                                                     ,BASEUS                        ,1,44.5,99,1.0,1.0,0.0,0.0,0.0,0.0,Min 3 months,0.0,Non moving,0.0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734941,6950000000000,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,1,44.5,89,3.0,2.0,1.0,2.0,0.0,0.0,Min 3 months,0.67,Non moving,29.145000000000003,Less profitable,Non moving - Less profitable,Buying Price,-
734942,6950000000000,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,1,24.5,49,6.0,9.0,2.0,3.0,7.0,1.0,Min 3 months,3.67,Slow moving,86.245,Profitable,Slow moving - Profitable,-,-
734943,6950000000000,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,1,24.5,49,4.0,14.0,15.0,11.0,11.0,6.0,Min 3 months,9.33,Fast moving,219.255,Profitable,Fast moving - Profitable,-,-
734944,6950000000000,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,1,24.5,49,4.0,11.0,3.0,6.0,3.0,2.0,Min 3 months,3.67,Slow moving,86.245,Profitable,Slow moving - Profitable,-,-
734945,6950000000000,CCALL-YX01     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER BLACK                                                                     ,BASEUS                        ,1,39.5,79,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734947,6950000000000,CCALL-YX02     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER WHITE                                                                     ,BASEUS                        ,1,39.5,79,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734948,6950000000000,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,1,49.5,109,2.0,7.0,2.0,6.0,4.0,3.0,Min 3 months,4.33,Slow moving,210.005,Profitable,Slow moving - Profitable,-,-
734966,6950000000000,WIAPIPH61-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XR                                                                 ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
734968,6950000000000,WIAPIPH61-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XR                                                                  ,BASEUS                        ,1,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0 month,0.0,Run out of stock,0.0,Run out of stock,Run out of stock - Run out of stock,-,-
